ITEM_NO,STOCK
06B1X25FT,3
08B1X25FT,0
08B2X25FT,20
10B1X25FT,0
10B2X25FT,8
12B1X25FT,0
12B2X25FT,13
16B1X10FT,0
16B2X10FT,0
SD06B1X5M,0
SD08B1X5M,0
SD08B2X5M,16
SD08B3X5M,10
SD10B1X5M,0
SD10B2X5M,0
SD10B3X5M,7
SD12B1X5M,0
SD12B2X5M,0
SD12B3X5M,53
SD16B1X5M,0
SD16B2X2500,11
SD16B3X2500,0
06B1S26I,0
06B1S30I,350
08B2S12I,25
08B2S26I,0
08B2S30I,4
08B1S12I,13
08B1S26I,265
08B1S30I,9
10B2S12I,19
10B2S26I,9
10B2S30I,17
10B1S12I,0
10B1S26I,0
10B1S30I,25
12B2S12I,12
12B2S26I,102
12B2S30I,20
12B1S12I,15
12B1S26I,0
12B1S30I,0
16B2S12I,1
16B2S26I,20
16B2S30I,1
16B1S12I,7
16B1S26I,0
16B1S30I,18
SD06B1S26I,0
SD06B1S12I,0
SD06B1S30I,0
SD08B1S26I,0
SD08B1S12I,0
SD08B1S30I,0
SD08B2S26I,552
SD08B2S12I,0
SD08B3S26I,18
SD08B3S12I,20
SD10B1S26I,127
SD10B1S12I,1
SD10B1S30I,219
SD10B2S26I,0
SD10B2S12I,1
SD10B3S26I,29
SD10B3S12I,20
SD12B1S26I,0
SD12B1S12I,0
SD12B1S30I,0
SD12B2S26I,10
SD12B2S12I,5
SD12B3S26I,0
SD12B3S12I,10
SD16B1S26I,0
SD16B1S12I,184
SD16B3S26I,42
SD16B2S12I,60
SD16B3S26I,42
SD16B3S12I,20
100CTO200,3
10101,51
CT35,13
